x accelerometer,y accelerometer,z accelerometer,x gyro,y gyro,z gyro,surface
-0.061035,-0.394287,-0.920654,2.655029,1.937866,3.448486,grass
-0.053955,-0.391357,-0.918213,3.14331,1.907349,3.631592,grass
-0.044189,-0.384277,-0.922607,3.387451,1.846313,3.692627,grass
-0.039795,-0.37793,-0.933838,3.494262,1.754761,3.890991,grass
-0.039551,-0.37085,-0.937012,3.555298,1.63269,4.150391,grass
-0.042725,-0.365723,-0.932129,3.601074,1.327515,4.348755,grass
-0.038086,-0.361572,-0.933594,3.616333,1.144409,4.806519,grass
-0.034668,-0.355469,-0.933838,3.555298,0.900268,5.15747,grass
-0.027588,-0.355225,-0.943115,3.52478,0.717163,5.53894,grass
-0.02832,-0.361328,-0.953369,3.555298,0.549316,5.905151,grass
-0.02832,-0.371094,-0.95874,3.555298,0.396728,6.16455,grass
-0.022217,-0.381592,-0.963135,3.356933,0.183105,6.103515,grass
-0.016357,-0.383789,-0.95752,3.204345,0.061035,6.195068,grass
-0.013428,-0.390137,-0.957031,3.005981,-0.061035,6.271362,grass
-0.007568,-0.405762,-0.949707,2.822876,0.045776,5.92041,grass
-0.001465,-0.390869,-0.94043,2.670288,0.167847,5.645751,grass
-0.022461,-0.396484,-0.934814,2.792358,0.366211,5.401611,grass
-0.021973,-0.404297,-0.925781,3.219604,0.366211,4.79126,grass
-0.008301,-0.407471,-0.917236,3.417969,0.076294,4.150391,grass
0.001953,-0.396973,-0.917969,3.90625,-0.152588,3.509521,grass
0.012939,-0.384521,-0.922852,4.180908,-0.091553,3.02124,grass
0.018066,-0.375488,-0.930176,4.394531,0.015259,2.716064,grass
0.018311,-0.364258,-0.933594,4.562378,0.015259,2.471924,grass
0.025391,-0.355469,-0.933105,4.669189,-0.061035,2.151489,grass
0.030029,-0.347412,-0.935059,4.79126,-0.198364,1.831055,grass
0.020996,-0.349854,-0.945557,4.867554,-0.350952,1.419067,grass
0.005615,-0.3396,-0.953857,4.928589,-0.747681,0.961304,grass
-0.005615,-0.334961,-0.96875,4.440308,-1.159668,0.564575,grass
-0.000732,-0.338379,-0.968994,4.074097,-1.647949,0.167847,grass
0.001953,-0.343506,-0.968506,3.799438,-1.785278,0.106812,grass
-0.003174,-0.358398,-0.9729,3.036499,-1.571655,0.12207,grass
-0.023926,-0.368408,-0.9729,2.532959,-1.220703,0.228882,grass
-0.048828,-0.379883,-0.969971,2.151489,-1.144409,0.198364,grass
-0.070313,-0.38623,-0.961914,1.754761,-1.220703,0.106812,grass
-0.07251,-0.388916,-0.943115,1.51062,-1.403808,0.12207,grass
-0.061279,-0.395752,-0.920166,1.693725,-1.464844,0.167847,grass
-0.048096,-0.398438,-0.907471,2.258301,-1.464844,0.411987,grass
-0.047607,-0.400146,-0.912109,2.914428,-1.434326,0.808716,grass
-0.057617,-0.402832,-0.921143,3.494262,-1.480102,1.205444,grass
-0.057617,-0.407959,-0.941162,3.860473,-1.464844,1.403808,grass
-0.049805,-0.412598,-0.956055,3.921509,-1.586914,1.739502,grass
-0.034668,-0.422119,-0.960693,3.967285,-1.403808,1.89209,grass
-0.018066,-0.423584,-0.953125,3.875732,-1.235962,1.861572,grass
-0.022461,-0.421631,-0.94043,3.707886,-0.961304,1.876831,grass
-0.031738,-0.415771,-0.93457,3.692627,-0.595093,1.770019,grass
-0.044434,-0.413818,-0.926025,3.616333,-0.50354,1.647949,grass
-0.05249,-0.409424,-0.924072,3.768921,-0.335693,1.419067,grass
-0.05127,-0.39624,-0.91626,3.921509,-0.198364,1.037598,grass
-0.055908,-0.396973,-0.918701,4.058838,0.045776,0.686645,grass
-0.043945,-0.401123,-0.92749,4.608154,0.228882,0.091553,grass
-0.038574,-0.366455,-0.94458,4.333496,0.427246,-0.274658,grass
-0.050537,-0.349121,-0.975342,3.738403,0.762939,0.091553,grass
-0.065918,-0.3479,-0.976807,3.616333,1.358032,0.534058,grass
-0.057373,-0.353271,-0.964844,3.112793,1.663208,0.808716,grass
-0.047119,-0.352539,-0.960938,2.502441,1.785278,1.098633,grass
-0.045898,-0.364502,-0.950195,2.13623,1.876831,1.205444,grass
-0.048096,-0.375244,-0.94165,1.953125,2.029419,1.113892,grass
-0.052246,-0.379883,-0.942139,1.693725,2.090454,0.976562,grass
-0.052002,-0.373047,-0.941162,1.617432,2.258301,1.037598,grass
-0.060791,-0.383789,-0.937256,1.525879,2.365112,1.235962,grass
-0.056641,-0.381348,-0.94751,1.464844,2.27356,1.464844,grass
-0.060791,-0.380859,-0.949951,1.266479,2.288818,1.846313,grass
-0.061279,-0.388672,-0.95459,0.946045,2.197266,2.288818,grass
-0.06958,-0.395508,-0.958496,0.717163,1.953125,2.914428,grass
-0.076416,-0.406738,-0.951416,0.411987,1.861572,3.555298,grass
-0.066162,-0.412842,-0.94043,0.152588,1.602173,4.013062,grass
-0.046875,-0.418213,-0.929932,0.12207,1.403808,4.425049,grass
-0.039063,-0.421387,-0.922363,0.228882,1.281738,4.898071,grass
-0.037842,-0.42041,-0.909668,0.640869,1.220703,5.142211,grass
-0.033936,-0.41626,-0.901855,1.144409,0.976562,5.142211,grass
-0.022705,-0.401611,-0.899902,1.708984,0.610352,5.0354,grass
-0.010498,-0.393311,-0.902832,2.227783,0.289917,4.730225,grass
-0.005371,-0.389404,-0.91333,2.746582,0.015259,4.425049,grass
-0.006592,-0.384277,-0.928467,2.975464,-0.152588,3.921509,grass
-0.003906,-0.374756,-0.939941,3.082275,-0.289917,3.448486,grass
-0.010742,-0.37085,-0.947021,3.051758,-0.488281,3.097534,grass
-0.007324,-0.367432,-0.951904,2.929687,-0.640869,2.746582,grass
0.004883,-0.365967,-0.948242,2.929687,-0.656128,2.27356,grass
0.007813,-0.35791,-0.941162,2.838135,-0.549316,2.029419,grass
0.003174,-0.355469,-0.943359,2.63977,-0.549316,1.876831,grass
-0.007324,-0.355469,-0.946777,2.716064,-0.701904,1.63269,grass
-0.013672,-0.361572,-0.943359,2.777099,-0.732422,1.296997,grass
-0.017578,-0.368164,-0.946533,2.731323,-0.869751,0.915527,grass
-0.020752,-0.378174,-0.948975,2.593994,-1.022339,0.610352,grass
-0.023682,-0.387939,-0.946777,2.548218,-0.900268,0.305176,grass
-0.029053,-0.394775,-0.942871,2.487183,-0.747681,0.183105,grass
-0.04248,-0.398926,-0.928467,2.426147,-0.534058,0.198364,grass
-0.055176,-0.397705,-0.91748,2.731323,-0.366211,0.274658,grass
-0.061768,-0.398926,-0.917725,2.944946,-0.274658,0.427246,grass
-0.065918,-0.397949,-0.921143,3.280639,-0.183105,0.62561,grass
-0.061035,-0.393066,-0.927246,3.616333,-0.12207,0.823975,grass
-0.054688,-0.388184,-0.931396,3.814697,0.015259,1.098633,grass
-0.057617,-0.381836,-0.937012,4.013062,0.167847,1.419067,grass
-0.062012,-0.376465,-0.945313,3.982544,0.427246,1.770019,grass
-0.063965,-0.375977,-0.955322,3.829956,0.549316,1.846313,grass
-0.064697,-0.376953,-0.958496,3.509521,0.534058,1.937866,grass
-0.065186,-0.380127,-0.952148,3.219604,0.564575,1.998901,grass
-0.063965,-0.380371,-0.943848,2.868652,0.747681,2.13623,grass
-0.058594,-0.385498,-0.927734,2.670288,0.671387,2.334595,grass
-0.046875,-0.374756,-0.921387,2.731323,0.762939,2.5177,grass
-0.055908,-0.366943,-0.912109,2.975464,0.915527,2.578735,grass
-0.05127,-0.356445,-0.914307,3.311157,0.961304,2.563476,grass
-0.057861,-0.340576,-0.915283,3.570556,1.113892,2.700805,grass
-0.0625,-0.335693,-0.921875,3.784179,1.037598,2.655029,grass
-0.052734,-0.322998,-0.926758,3.845215,0.930786,2.670288,grass
-0.048584,-0.314453,-0.936035,3.997802,1.037598,2.868652,grass
-0.052246,-0.320068,-0.94165,3.860473,1.098633,3.158569,grass
-0.048584,-0.323975,-0.949951,3.52478,0.991821,3.280639,grass
-0.053223,-0.334229,-0.950439,3.173828,0.961304,3.372192,grass
-0.052734,-0.350342,-0.938965,2.853393,0.823975,3.479004,grass
-0.043945,-0.368408,-0.931885,2.655029,0.610352,3.311157,grass
-0.042236,-0.378662,-0.927246,2.593994,0.595093,3.234863,grass
-0.052002,-0.398193,-0.925537,2.593994,0.534058,3.173828,grass
-0.046387,-0.404053,-0.922607,2.670288,0.549316,3.036499,grass
-0.044678,-0.404053,-0.916748,3.036499,0.579834,3.082275,grass
-0.045654,-0.417969,-0.912109,3.280639,0.854492,3.02124,grass
-0.047363,-0.425781,-0.917236,3.356933,1.083374,2.868652,grass
-0.046875,-0.428711,-0.923096,3.387451,1.373291,2.868652,grass
-0.054932,-0.435059,-0.92627,3.479004,1.89209,2.593994,grass
-0.05835,-0.441162,-0.932861,3.311157,1.998901,2.532959,grass
-0.064453,-0.445801,-0.933594,3.158569,2.166748,2.349854,grass
-0.06543,-0.450439,-0.932373,3.02124,2.410889,2.334595,grass
-0.060303,-0.44873,-0.924072,2.838135,2.655029,2.426147,grass
-0.054199,-0.444336,-0.913818,2.914428,2.929687,2.548218,grass
-0.045654,-0.437012,-0.910156,2.960205,3.082275,2.761841,grass
-0.03833,-0.432373,-0.9104,3.234863,3.189087,2.746582,grass
-0.034912,-0.424561,-0.914063,3.570556,3.280639,2.792358,grass
-0.03418,-0.421143,-0.922852,3.662109,3.326416,2.63977,grass
-0.036133,-0.410889,-0.935791,3.707886,3.341675,2.487183,grass
-0.033691,-0.405518,-0.947998,3.509521,3.219604,2.410889,grass
-0.030762,-0.398682,-0.951172,3.189087,3.051758,2.227783,grass
-0.031494,-0.393066,-0.952637,2.807617,2.990722,2.166748,grass
-0.031738,-0.388672,-0.95459,2.304077,2.89917,2.258301,grass
-0.032715,-0.385986,-0.954102,1.724243,2.685547,2.334595,grass
-0.02832,-0.383301,-0.957031,1.220703,2.410889,2.39563,grass
-0.027588,-0.384521,-0.951904,0.732422,2.182007,2.471924,grass
-0.028809,-0.385254,-0.946777,0.152588,1.968384,2.670288,grass
-0.035889,-0.38501,-0.942139,-0.488281,1.663208,2.838135,grass
-0.03833,-0.386719,-0.936768,-0.869751,1.205444,3.02124,grass
-0.033447,-0.38916,-0.934814,-1.190186,0.900268,3.341675,grass
-0.030762,-0.390381,-0.931885,-1.586914,0.579834,3.601074,grass
-0.03125,-0.389648,-0.92749,-1.953125,0.366211,3.677368,grass
-0.029785,-0.386963,-0.920166,-2.27356,0.030518,3.662109,grass
-0.027588,-0.379883,-0.91748,-2.471924,-0.320435,3.463745,grass
-0.020996,-0.374512,-0.915527,-2.670288,-0.732422,3.112793,grass
-0.009033,-0.375488,-0.909668,-2.89917,-0.991821,2.63977,grass
-0.021973,-0.357178,-0.9104,-3.005981,-1.12915,2.090454,grass
-0.036621,-0.336426,-0.917236,-3.250122,-1.296997,1.419067,grass
-0.033447,-0.350342,-0.944824,-4.394531,-1.754761,0.030518,grass
0.07959,-0.374023,-0.923828,-2.609253,-1.953125,-0.198364,grass
0.037109,-0.404053,-0.885498,-2.792358,-0.579834,0.030518,grass
-0.002441,-0.443115,-0.883789,-3.036499,0.564575,-0.198364,grass
-0.005371,-0.456055,-0.875488,-0.564575,0.747681,-0.610352,grass
-0.020752,-0.47168,-0.851318,0.671387,0.701904,-1.449585,grass
-0.009766,-0.48584,-0.86499,1.327515,0.88501,-2.380371,grass
0.019775,-0.470459,-0.87085,2.975464,1.068115,-3.128052,grass
-0.00293,-0.46582,-0.844971,3.952026,1.724243,-3.784179,grass
-0.018555,-0.448242,-0.869385,5.249023,2.380371,-4.180908,grass
-0.037109,-0.422852,-0.898926,6.179809,2.868652,-4.592896,grass
-0.05542,-0.42334,-0.924805,6.195068,3.372192,-5.020141,grass
-0.052246,-0.412109,-0.968262,6.408691,3.494262,-5.264282,grass
-0.058594,-0.405273,-0.999756,6.04248,3.570556,-5.569458,grass
-0.069336,-0.39209,-0.997803,5.325317,3.585815,-5.722045,grass
-0.072266,-0.38501,-0.996582,4.623413,3.387451,-5.66101,grass
-0.072266,-0.377441,-0.991211,4.013062,3.158569,-5.41687,grass
-0.05957,-0.375732,-0.977051,3.494262,2.929687,-4.989624,grass
-0.044434,-0.386963,-0.974854,2.716064,2.578735,-4.364014,grass
-0.03833,-0.399902,-0.981934,1.846313,2.441406,-3.585815,grass
-0.046143,-0.418945,-0.983643,0.854492,2.151489,-2.868652,grass
-0.052979,-0.44165,-0.969238,-0.091553,1.647949,-2.075195,grass
-0.063477,-0.456543,-0.956055,-0.686645,0.961304,-1.358032,grass
-0.071289,-0.446533,-0.940674,-1.190186,0.350952,-0.671387,grass
-0.061523,-0.433105,-0.924805,-1.602173,-0.549316,-0.228882,grass
-0.036621,-0.41748,-0.912598,-1.586914,-1.358032,0.259399,grass
-0.018311,-0.394287,-0.902588,-1.403808,-1.861572,0.732422,grass
0.000244,-0.368896,-0.90332,-1.266479,-2.166748,1.235962,grass
-0.002441,-0.347412,-0.921631,-1.113892,-2.243042,1.617432,grass
-0.000977,-0.344238,-0.94043,-1.327515,-2.426147,1.739502,grass
0.00293,-0.348145,-0.945313,-1.312256,-2.655029,1.800537,grass
0.001221,-0.349365,-0.945801,-1.846313,-2.731323,1.724243,grass
-0.000732,-0.345215,-0.944336,-2.578735,-2.807617,1.327515,grass
0.001953,-0.344238,-0.945801,-3.265381,-3.051758,0.488281,grass
-0.000732,-0.345215,-0.946533,-3.845215,-3.387451,-0.595093,grass
-0.003662,-0.346924,-0.943359,-4.470825,-3.692627,-1.724243,grass
-0.004395,-0.35083,-0.938721,-5.050659,-3.784179,-2.609253,grass
0.006592,-0.349365,-0.937744,-5.599975,-3.707886,-3.250122,grass
0.012207,-0.352051,-0.93457,-5.92041,-3.204345,-3.692627,grass
0.010254,-0.357422,-0.938965,-6.210327,-2.5177,-4.119873,grass
-0.001953,-0.365967,-0.943604,-6.195068,-1.754761,-4.547119,grass
-0.017578,-0.369385,-0.934082,-6.378173,-0.976562,-5.081176,grass
-0.023682,-0.362793,-0.919922,-6.286621,-0.244141,-5.630493,grass
-0.035645,-0.373291,-0.915039,-6.04248,0.488281,-6.179809,grass
-0.037354,-0.36377,-0.900879,-6.011962,1.525879,-6.439209,grass
-0.059814,-0.366699,-0.896729,-5.905151,2.593994,-6.576538,grass
-0.075439,-0.366211,-0.880371,-5.554199,3.463745,-6.759643,grass
-0.083984,-0.371094,-0.875732,-5.050659,4.043579,-7.019042,grass
-0.081299,-0.375244,-0.869629,-4.653931,4.394531,-7.080078,grass
-0.084717,-0.382324,-0.886719,-4.104614,4.547119,-6.713867,grass
-0.103271,-0.397461,-0.899658,-3.250122,4.669189,-5.783081,grass
-0.122803,-0.391113,-0.92041,-2.410889,4.592896,-4.638672,grass
-0.135986,-0.408447,-0.926025,-1.800537,4.180908,-3.341675,grass
-0.131592,-0.408691,-0.915771,-1.113892,3.387451,-1.983642,grass
-0.115723,-0.415283,-0.916504,-0.167847,2.487183,-0.518799,grass
-0.087891,-0.426758,-0.92627,0.50354,1.586914,0.930786,grass
-0.091064,-0.398682,-0.91333,1.068115,0.900268,2.334595,grass
